Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,dsfs
"Campolo, Middleton & McCormick, LLP",Campolo Middleton & McCormick,Cold,Accountant+Legal,39,law practice,pavel@mindcypher.com,http://www.cmmllp.com,http://www.linkedin.com/company/campolo-middleton-&-mccormick-llp,https://facebook.com/cmmllp,https://twitter.com/cmmllp,4175 Veterans Memorial Hwy,Ronkonkoma,New York,United States,11779-7623,"4175 Veterans Memorial Hwy, Ronkonkoma, New York, United States, 11779-7623","ma, technology amp intellectual property, corporate amp private equity, economic development, environmental amp land use, municipalgovernment, construction, personal injury, criminal defense, cybersecurity, startups, white collar defense, corporate private equity, trusts amp estates, real estate development, international regulation, mampa, labor amp employment, litigation, municipal liability, trusts, liability insurance amp insurance coverage, retail, intellectual property, corporate, estates amp elder law, labor employment law, wills, appeals, labor amp employment law, litigation appeals, liability insurance coverage, technology intellectual property, healthcare, litigation amp appeals, banking amp lending, real estate, trusts estates, liability insurance amp coverage, law firm, corporate law, mergers and acquisitions, environmental law, labor and employment, real estate law, trusts and estates, insurance coverage, construction law, cannabis law, legal guidance, contract drafting, regulatory compliance, business transactions, charitable organization, financial services, entity formation, zoning approvals, employee screening, negotiation, lawyers, valuations, alternative dispute resolution, private equity, venture capital, compliance issues, legal advice, litigation support, legal representation, education law, employment contracts, business divorce, financing transactions, non-profit law, risk management, commercial real estate, supply chain agreements, e-discovery, criminal law, family office, community service, dispute resolution, program management, legal advocacy, legal services, law practice, health care, health, wellness & fitness, hospital & health care, mergers & acquisitions, trusts & estates, conflict resolution",'+1 631-738-9100,"Mimecast, Outlook, Microsoft Office 365, Google Cloud Hosting, Constant Contact, Google Tag Manager, Mobile Friendly, reCAPTCHA, Google Analytics, Simpli.fi, Nginx, WordPress.org, Facebook Widget, MouseFlow, Bootstrap Framework, Facebook Custom Audiences, Facebook Login (Connect), Render, Circle","","","","",2967000,"",68487b03a95c910021bdb605,8111,"Campolo, Middleton & McCormick, LLP is a law firm based in Ronkonkoma, New York, with additional offices in Westbury and Bridgehampton. Founded in 2008, the firm has expanded to over 30 attorneys and more than 50 staff members, serving as a strategic legal partner for businesses throughout Long Island and beyond.

CMM specializes in high-stakes business transactions, complex legal disputes, and regulatory compliance. Their services include advising on mergers and acquisitions, resolving litigation efficiently, and providing strategic advisory support for corporate clients. The firm is recognized by Forbes as one of America’s Top Trusted Corporate Law Firms and is committed to integrity, transparency, loyalty, and accountability in its client relationships. CMM's growth and reputation reflect its dedication to excellence and client-focused results.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/685e2008ffc50e0001bccc51/picture,"","","","","",""
The Leibow Jawin Group,The Leibow Jawin Group,Cold,Accountant+Legal,2,legal services,pavel@mindcypher.com,http://www.leibowjawin.com,http://www.linkedin.com/company/the-leibow-jawin-group,"","",1350 Avenue of the Americas,New York,New York,United States,10019,"1350 Avenue of the Americas, New York, New York, United States, 10019","lateral law firm partner placement & legal recruiting, lateral law firm partner placement, legal recruiting","","Outlook, Remote","","","","",1400000,"",68487b03a95c910021bdb5ff,"","The Leibow Jawin Group is a New York-based legal recruitment firm that specializes in high-level placements and law firm mergers. As a boutique search agency, it focuses exclusively on partner-level recruitment, group acquisitions, and advising on mergers within the competitive New York legal landscape. The firm adopts a client-centric approach, working with elite law firms that are committed to strategic growth through lateral hires and mergers.

The services offered by the Leibow Jawin Group include lateral partner placements, where they identify and place experienced partners at law firms, and group acquisitions, which facilitate the acquisition of practice groups or teams. They also provide advisory services for law firm mergers, leveraging their market knowledge to ensure compatibility and growth. With a small team, the firm is dedicated to serving mid-to-large-sized law firms seeking to expand or consolidate their operations.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f24a965d38a70001e0807d/picture,"","","","","",""
Orderly,Orderly,Cold,Accountant+Legal,46,financial services,pavel@mindcypher.com,http://www.orderly.network,http://www.linkedin.com/company/orderly-network,"",https://twitter.com/OrderlyNetwork,"",New York,New York,United States,10002,"New York, New York, United States, 10002","web3 trading, permissionless liquidity, decentralized trading, trading infrastructure, sdk integration, omnichain trading, unified liquidity, defi solutions, cex-level performance, trading analytics, trading bots, perpetual futures, cryptocurrency exchange, liquidity providers, dapp tools, community activation, trading volume, crypto transactions, liquid markets, api integration, security audits, market making, trading front-end, example sdks, customizable trading, investor insights, cross-chain compatibility, trader incentives, referral bonuses, trading rewards, cex and dex, nft trading, liquidity depth, audited infrastructure, staking rewards, rollback capability, real-time trading, user authentication, token listing, smart contract interaction, layer 2 solutions, exchange performance, asset withdrawal, trading rewards programs, crypto wallets, liquidity concentration, integrated trading solutions, decentralized finance","","Cloudflare DNS, Gmail, Google Apps, Greenhouse.io, Nginx, Vimeo, Adobe Media Optimizer, Cedexis Radar, Google Tag Manager, Google Font API, Mobile Friendly, Remote, AI",45000000,Other,5000000,2024-08-01,1000000,"",68487d20f269a0000d2a2fd8,6732,"Orderly Network is a decentralized finance (DeFi) infrastructure provider based in Nassau, Bahamas, founded in 2021. The company offers an omnichain liquidity layer that consolidates liquidity into a single, chain-agnostic order book, enhancing the efficiency of decentralized trading. With a total funding of $25 million, including a recent $5 million round, Orderly Network is positioned to bridge the gap between centralized exchanges and decentralized platforms.

The company provides a permissionless liquidity layer that aggregates assets across multiple blockchains, eliminating the need for wrapped assets. It also offers a software development kit (SDK) for builders, which includes tools for integrating decentralized applications (dApps) and supports both spot and derivatives trading. The $ORDER token plays a key role in governance, staking, and liquidity incentives, promoting decentralized operations and aligning stakeholder interests. Orderly Network serves a range of DeFi builders, including decentralized exchanges, aggregators, and high-frequency trading systems, focusing on overcoming liquidity fragmentation in the decentralized trading space.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6863dcf299db8e00013aa6b9/picture,"","","","","",""
Hedge Fund Community,Hedge Fund Community,Cold,Accountant+Legal,22,financial services,pavel@mindcypher.com,http://www.hedgecommunity.com,http://www.linkedin.com/company/hedge-fund-community,"","",15 Horseshoe Dr,New City,New York,United States,10956-5139,"15 Horseshoe Dr, New City, New York, United States, 10956-5139","",'+1 845-406-1410,"Amazon AWS, AI, Remote, Octane","","","","","","",68487d20f269a0000d2a2fdd,"","Hedge Fund Community, LLC is a web-based platform established in 2009 and based in New City, New York. It serves as an online community that connects hedge fund managers with accredited investors, facilitating communication and networking within the hedge fund industry. The platform features a specialized database of accredited investors, allowing hedge fund managers to access potential investment opportunities.

The company provides weekly newsletters and daily updates to accredited investors, keeping them informed about industry developments and investment opportunities. Hedge Fund Community focuses on enhancing relationships between hedge fund professionals and qualified investors, supporting networking and information sharing in the financial services sector. With a dedicated team of fewer than 25 employees, the company has generated approximately $7.5 million in revenue.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67c37ac897059700018fb4e2/picture,"","","","","",""
Truv,Truv,Cold,Accountant+Legal,69,financial services,pavel@mindcypher.com,http://www.truv.com,http://www.linkedin.com/company/truvhq,https://facebook.com/TruvHQ,https://twitter.com/TruvHQ,"",New York,New York,United States,"","New York, New York, United States","mortgage lending, home equity lending, consumer lending, auto lending, retail banking, tenant screening, background screening, income verification, employment verification, asset verification, direct deposit switching, scoring attributes, insurance verification, data integration, api solutions, direct source data, automated income assessment, freddie mac integration, w-2 data, paystub data, loan approval acceleration, cash flow analysis, real-time data, operational efficiency, fraud detection, verification platform, cross-industry integration, user experience optimization, seamless onboarding, cost savings, financial data access, data accuracy, verification automation, loan origination systems, point of sale integrations, customer relationship management, compliance solutions, risk reduction, tenant verification, gig economy data, payroll data access, flexible verification methods, data privacy compliance, enhanced borrower experience, quick implementation, high conversion rates, multi-method verification, customer permissions, data-driven decisions, enterprise software, enterprises, computer software, information technology & services, b2b, computer & network security, crm, sales",'+1 888-234-2353,"Route 53, Sendgrid, Gmail, Google Apps, Microsoft Office 365, Zendesk, Hubspot, StatusPage IO, Lever, Salesforce, Cedexis Radar, Google Dynamic Remarketing, LiveRamp, Bing Ads, Segment.io, Wordpress.com, DoubleClick, WordPress.org, Bootstrap Framework, Google Analytics, Vimeo, Facebook Custom Audiences, Nginx, Facebook Login (Connect), DoubleClick Conversion, YouTube, Mobile Friendly, Adobe Media Optimizer, Hotjar, Linkedin Marketing Solutions, Facebook Widget, Google Tag Manager, Google AdWords Conversion, Google Font API, Rippling, Circle, Remote, AI",28100000,Series A,25000000,2022-03-01,4000000,"",68487dc69e2b6000110ea5cc,7389,"Truv is a consumer-permissioned data platform that specializes in financial verification services. It offers solutions for income, employment, asset, and insurance verification, as well as direct deposit switching. The company serves a variety of clients, including mortgage lenders, consumer lenders, retail banks, and property management firms, focusing on cost savings and seamless integration with industry platforms.

As a credit reporting agency, Truv adheres to Fair Credit Reporting Act standards and maintains SOC2 Type II compliance for data security. It is the only consumer-permissioned Verification of Income and Employment (VOIE) platform accredited by both Freddie Mac and Fannie Mae, making it a trusted partner in the mortgage industry. Truv's services include payroll VOIE, asset verification, insurance validation, and tenant screening, all supported by robust technology and customizable reporting options.",2020,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6867fc19c6559a0001009713/picture,"","","","","",""
Koyfin,Koyfin,Cold,Accountant+Legal,52,financial services,pavel@mindcypher.com,http://www.koyfin.com,http://www.linkedin.com/company/koyfincharts,https://facebook.com/KoyfinCharts/,https://twitter.com/koyfincharts?lang=en,43 West 23rd Street,New York,New York,United States,10010,"43 West 23rd Street, New York, New York, United States, 10010","big data analytics, fin tech, investment management, data visualization, stocks, enterprise software, software, information technology, financial data analysis, market data, investment tools, financial advisors, equity research, data coverage, mobile app, investment analysis, portfolio management, custom dashboards, advanced graphing, financial analysis, screening tools, market trends, client reports, investment insights, model portfolios, watchlists, trending news, economic insights, financial metrics, portfolio tracking, risk assessment, investment strategies, transcripts, analyst estimates, stock screener, custom analysis, real-time updates, multifactor analysis, liquidity analysis, data organization, market dashboards, high-quality data, user-friendly interface, financial reporting, data management, asset management, investment research, performance analysis, global economics, financial markets, custom filters, interactive charts, cryptocurrency analysis, investment opportunities, time series analysis, data integration, enterprises, computer software, information technology & services, b2b, finance technology, financial services",'+1 973-487-7888,"Route 53, Mailchimp Mandrill, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, Google Analytics, Google Tag Manager, Typekit, Gravity Forms, DoubleClick Conversion, Facebook Login (Connect), Vimeo, Google Font API, Google Play, Facebook Widget, Stripe, WordPress.org, Nginx, Google Dynamic Remarketing, Mobile Friendly, reCAPTCHA, DoubleClick, Mixpanel, Linkedin Marketing Solutions, Twitter Advertising, Facebook Custom Audiences, Remote, , Basis, Reviews, Circle, Flutter, React Native, Docker, Data Analytics, Box, , , , Magento, Android, Python, Proofpoint, Semrush",7345000,Other,2000000,2021-01-01,4000000,"",68487dc69e2b6000110ea5c7,7374,"Koyfin is a financial analytics platform founded in 2016 by Rob Koyfman and Rich. It provides live data and investment research tools designed for both individual and professional investors. The company has grown significantly, reaching 500,000 users globally by 2023, and operates with a team across the US, Argentina, Ukraine, and the UK.

Koyfin offers a range of services, including real-time analytics for equities, ETFs, mutual funds, forex, and bonds, along with social media sentiment tracking. Its analytical tools feature advanced charting, dashboarding, and model portfolio tracking. The platform operates on a freemium model, providing a free tier with essential features and paid plans for advanced tools. A mobile app launched in 2022 allows users to monitor markets on the go. Koyfin targets individual investors, financial advisors, and professional traders, focusing on user experience and affordability.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686fd28d30d1d400016f8572/picture,"","","","","",""
Creative Business Inc.,Creative Business,Cold,Accountant+Legal,18,financial services,pavel@mindcypher.com,http://www.creativebusinessinc.com,http://www.linkedin.com/company/creative-business-inc,https://facebook.com/creativebusinessinc,https://twitter.com/creativebizinc,55 Washington Street,New York,New York,United States,10013,"55 Washington Street, New York, New York, United States, 10013","business services, financial strategy, human resources, operations & compliance, financial guidance, operational support, back-office support, business advisory, strategic hr, financial planning, technology consulting, creative industries, client success, financial literacy, art business, financial analysis, strategic planning, profitability improvement, creative entrepreneur, market positioning, business growth, resource management, financial systems, investment strategy, inventory management, employee benefits, business consulting, cash flow management, team efficiency, data analysis, financial stability, creative process, cost management, accounting services, contract management, performance metrics, business restructuring, business operations, consulting services, business development, financial reporting, risk management, small business support, consulting for artists, e-commerce management, operational efficiency, inventory optimization, management consulting, industry insight, technology integration, client collaboration, strategic advisory, creative marketing, b2b, data analytics, financial services",'+1 718-797-2673,"Gmail, Google Apps, MailChimp, Google Font API, Mobile Friendly, Typekit, WordPress.org","","","","",3956000,"",68487dc69e2b6000110ea5ca,8742,"Creative Business Inc. (CBI) is a business advisory firm based in Brooklyn's DUMBO neighborhood, specializing in financial and operational support for creative entrepreneurs and innovators. Founded in 2005, CBI focuses on empowering high-growth companies in various creative sectors, including art, design, media, retail, and light manufacturing.

CBI offers a range of services to help creative businesses succeed. These include financial planning, operational support, technology consulting, strategic human resources, and strategic advisory services. The firm also provides a monthly newsletter, ""the sum of i+,"" which shares valuable insights and resources tailored for creative entrepreneurs. CBI serves a diverse clientele, including early-stage and mature companies, and is known for its commitment to community involvement, donating 10% of profits to charitable and arts organizations. As a woman-owned company, CBI has received recognition for its growth and impact in the industry.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/684c1bc4ac0c0500016ddfe7/picture,"","","","","",""
Domini Impact Investments LLC,Domini Impact Investments,Cold,Accountant+Legal,18,financial services,pavel@mindcypher.com,http://www.domini.com,http://www.linkedin.com/company/domini-impact-investments,https://www.facebook.com/dominifunds,https://twitter.com/DominiFunds,180 Maiden Lane,New York,New York,United States,10038,"180 Maiden Lane, New York, New York, United States, 10038","socially responsible investing, green investing, sustainable investing, responsible investing, shareholder activism, community development, impact investing, mutual funds, environmental standards, social impact, financial advisor, ethical investing, responsible investment, retirement accounts, ira, roth ira, traditional ira, education savings account, fund management, impact equity fund, bond fund, educational expenses, fossil fuel-free, firearm-free, investment strategies, community investment, financial inclusion, investment returns, esg research, portfolio management, divestment, shareholder engagement, proxy voting, sustainable finance, investment opportunities, financial literacy, universal human dignity, ecological sustainability, impact measurement, risk management, investors community, engagement strategy, standard accounts, tax-advantaged investing, co-portfolio manager, investment standards, social metrics, transparency in investing, pri assessment, independent research, financial performance indicators, sustainable development goals",'+1 800-762-6814,"Salesforce, Outlook, Pardot, Google Cloud Hosting, Hotjar, Linkedin Marketing Solutions, Facebook Widget, Mobile Friendly, Facebook Custom Audiences, Nginx, Facebook Login (Connect), Google Analytics, Google Dynamic Remarketing, WordPress.org, DoubleClick, Google Tag Manager, DoubleClick Conversion, AI","","","","",4609000,"",68487d20f269a0000d2a2fd5,6733,"Domini Impact Investments LLC is a women-led, SEC-registered investment adviser that focuses on impact investing. Founded in 1997, the company aims to leverage finance to create positive outcomes for the planet and its people while pursuing competitive financial returns. Domini's mission is to empower investors to preserve the environment, inspire companies, and promote shared prosperity.

The company has a rich history in sustainable investing, marked by significant milestones such as the launch of the Domini 400 Social Index in 1990 and the introduction of the first socially and environmentally screened index fund in 1991. Domini offers a variety of investment products, including the Domini Impact Equity Fund, Domini Impact Bond Fund, and the Domini Sustainable Solutions Fund, all designed to align with social and environmental standards. Domini is also committed to community engagement and has been a founding signatory to the Principles for Responsible Investment since 2006.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6863f7153b4afd0001efb777/picture,"","","","","",""
"Cerini and Associates, LLP",Cerini and Associates,Cold,Accountant+Legal,120,accounting,pavel@mindcypher.com,http://www.ceriniandassociates.com,http://www.linkedin.com/company/cerini-and-associates-llp,https://www.facebook.com/ceriniandassociates,https://twitter.com/CeriniandAssoc,3340 Veterans Memorial Highway,Bohemia,New York,United States,11716,"3340 Veterans Memorial Highway, Bohemia, New York, United States, 11716","accounting, auditing, budget modeling, financial modeling, business valuations, forensic accounting, internal audit services, consulting, litigation support, control reviews, policy, procedure reviews, business planning, tax planning, prep, tax audit defense, tax advisory, business consulting, education consulting, healthcare consulting, mergers and acquisitions, outsourced accounting, nonprofit consulting, employee benefits plans, government agencies, special education, construction accounting, higher education audits, compliance services, international taxation, client portal access, board member training, webinars, monthly newsletters, employee engagement, corporate social responsibility, financial services, technology consulting, family office services, industrial accounting, religious institutions consulting, pension plan services, client testimonials, industry insights, market analysis, strategic planning, tax controversy resolution, nonprofit trends, health sector guidance, school district consulting, operational support, risk management, employee training programs, social impact initiatives, tax compliance, profitability analysis, financial reporting, legal services, b2b, management consulting, mergers & acquisitions",'+1 631-582-1600,"Cloudflare DNS, SMTP.com, Outlook, Microsoft Office 365, CloudFlare Hosting, MailChimp SPF, Amazon AWS, Mobile Friendly, Facebook Widget, Facebook Login (Connect), Adobe Media Optimizer, Google Analytics, Hubspot, Cedexis Radar, Quantcast, Woo Commerce, Google Font API, Vimeo, YouTube, Google Tag Manager, WordPress.org, Reviews, Remote, AI, Circle","","","","",4365000,"",68487b03a95c910021bdb608,8731,"Cerini and Associates, LLP is a full-service accounting firm founded in 1993 by Managing Partner Ken Cerini. The firm emphasizes personalized and creative accounting services, focusing on building strong client relationships. With a team of over 70 professionals and nine partners, Cerini & Associates combines the expertise of a large firm with the personal touch of a mid-sized practice.

The firm offers a comprehensive range of services, including assurance services, tax compliance and planning, operational reviews, merger and acquisition support, forensic accounting, and management consulting. Cerini & Associates serves various industries, such as healthcare, nonprofit, technology, special education, charter schools, school districts, construction, and startups. The firm is also dedicated to community engagement, providing free resources and webinars, and supporting literacy initiatives through partnerships.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686d514a200b1c0001e1bd15/picture,"","","","","",""
CFO Squad LLC,CFO Squad,Cold,Accountant+Legal,28,accounting,pavel@mindcypher.com,http://www.cfosquad.com,http://www.linkedin.com/company/cfo-squad,https://facebook.com/CFOsquad,https://twitter.com/CFOsquad,1345 6th Avenue,New York,New York,United States,10105,"1345 6th Avenue, New York, New York, United States, 10105","interim cfo services, taxes, sec financial reporting, budget preparation, retained search, business plans, litigation support, forensic accounting, turnaround, bankruptcy, investor presentations, strategic planning, sec, financial statements, cfo, ipo, sox, 404, sec reporting, financial reporting, cfo services, outsourced accounting, tax compliance, audit preparation, mergers and acquisitions, accounting advisory, backoffice accounting, real estate accounting, tax planning, regulatory compliance, lease accounting, revenue recognition, asc 606, asc 842, cfo consulting, pre-audit services, due diligence, business valuation, investor reporting, public company compliance, private company advisory, gaap compliance, financial forecasting, investment analysis, cash flow modeling, technical accounting, irs filings, industry expertise, client industries, corporate tax planning, annual reports, tax return preparation, transaction services, cost-effective solutions, financial solutions, business process outsourcing, financial analysts, audit services, regulatory filings, public offerings, ipo preparation, client relationships, virtual accounting services, accounting system setup, financial transformation, management consulting, strategic financial planning, business planning, b2b, legal services, financial services, mergers & acquisitions",'+1 845-613-3399,"Cloudflare DNS, ElasticEmail, Microsoft Office 365, Google Cloud Hosting, Cloudways, Barracuda Networks, Render, SharePoint, Circle, AI, Remote, Reviews, Basis, QuickBooks","","","","",3796000,"",68487b03a95c910021bdb5fb,8731,"CFO Squad LLC is a financial and business advisory firm based in New York, NY, with additional locations in Monsey, NY; Burlington, MA; Davao City, Philippines; and Central Israel. The company specializes in outsourced accounting and consulting services, catering to the financial needs of emerging to mid-sized companies across various industries, including manufacturing, distribution, retail, and bio-medical sectors.

Their service offerings include outsourced CFO advisory services, regulatory consulting, financial reporting, SEC and tax compliance, implementation of new accounting guidance, and audit preparation support. CFO Squad aims to provide expert financial solutions and guidance, helping clients navigate complex financial landscapes and achieve their business goals. The team consists of experienced professionals dedicated to enhancing financial management and compliance capabilities for both public and private companies.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686581d87229890001a415e9/picture,"","","","","",""
LatinoJustice PRLDEF,LatinoJustice PRLDEF,Cold,Accountant+Legal,77,legal services,pavel@mindcypher.com,http://www.latinojustice.org,http://www.linkedin.com/company/latinojustice,https://www.facebook.com/latinojustice/,https://twitter.com/latinojustice,475 Riverside Dr,New York,New York,United States,10115,"475 Riverside Dr, New York, New York, United States, 10115","immigrants rights, employment discrimination & workers rights, racial profiling & law enforcement issues, civil & human rights, voting rights, economic justice, criminal justice reform, litigation, civil rights, human rights, legal advocacy, latino rights, immigrant rights, racial justice, leadership development, community empowerment, youth engagement, affordable housing, discriminatory practices, employment rights, educational equity, immigration reform, social justice, community organizing, public safety, restorative justice, legal assistance, policy change, advocacy, legal education, anti-discrimination, employment advocacy, equity in education, latinx leadership, civic engagement, justice reform, funding for community programs, legal representation, latino advocacy, youth mentorship, community resources, rights protection, civil justice, anti-racism, policy reforms, community development, social equity, transparency, puertorican rights, self-determination, decolonization, migration rights, bar admission for immigrants, non-citizen voting, legal challenges, law practice, legal services",'+1 212-739-7502,"Cloudflare DNS, Constant Contact, Outlook, CloudFlare Hosting, Google Tag Manager, Typekit, Mobile Friendly, Google Font API, Multilingual","","","","",3797000,"",68487b03a95c910021bdb604,8611,"LatinoJustice PRLDEF is a national nonprofit organization focused on advancing equity and justice for Latinx communities in the United States, Puerto Rico, and beyond. Founded in 1972 as the Puerto Rican Legal Defense and Education Fund, it was renamed in 2007 to reflect its broader mission. The organization aims to ensure political, economic, social, and educational equality for all Latino communities.

LatinoJustice PRLDEF provides various services, including legal advocacy, class action lawsuits, and leadership and legal education initiatives. It works to transform harmful systems through legal action and supports policies that promote bilingual education, affirmative action, and expanded rights for immigrants. The organization is committed to empowering communities and creating a more just society through its advocacy efforts.",1972,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68652763065e340001a07673/picture,"","","","","",""
Prometheum,Prometheum,Cold,Accountant+Legal,51,financial services,pavel@mindcypher.com,http://www.prometheum.com,http://www.linkedin.com/company/prometheum,https://facebook.com/PrometheumInc/,https://twitter.com/prometheuminc,120 Wall Street,New York,New York,United States,10005,"120 Wall Street, New York, New York, United States, 10005","digital asset securities, trading platform, blockchain technology, custody solutions, sec-registered, alternative trading system, institutional trading, retail trading, crypto custody, qualified custodian, smart contracts, risk management, real-time settlement, portfolio tracking, user-friendly interface, regulatory compliance, financial innovation, on-chain securities, diverse asset offerings, advanced security protocols, customer protection, aml compliance, kyc procedures, competitive custody fees, transaction fees, trade monitoring, surveillance system, trading apis, fix api, rest api, market data, digital market infrastructure, tokenization, financial products, equities, etfs, debt instruments, investment contracts, mutual funds, money market funds, institutional clients, blockchain-native assets, liquidity solutions, securities regulation, digitization of assets, financial services, investment opportunities, electronic securities trading, technology integration",'+1 212-246-8000,"Cloudflare DNS, Sendgrid, Gmail, Pardot, Google Apps, Amazon AWS, CloudFlare Hosting, Vercel, Hubspot, Sage Intacct, Zendesk, WordPress.org, Google Analytics, Google Tag Manager, Mobile Friendly, Render, Basis, Remote, AI",72514500,Other,20000000,2024-12-01,3800000,"",68487d20f269a0000d2a2fe6,6211,"Prometheum is a financial technology company established in 2017 by Wall Street attorneys. It focuses on integrating blockchain technology with traditional securities markets, serving as a market infrastructure provider for digital asset securities. The company operates through SEC-registered subsidiaries, offering a comprehensive ecosystem for trading, custody, and issuance of blockchain-native financial products.

Prometheum's services include an SEC-registered Alternative Trading System called Prometheum ATS, which provides access to digital asset securities with real-time settlement and advanced charting tools. It also offers Prometheum Capital, a special purpose broker-dealer and Qualified Custodian for secure storage of digital asset securities. The company supports the issuance of blockchain-native financial products, enabling the creation of securities on distributed ledgers for improved efficiency and liquidity.

With a strong emphasis on regulatory compliance, Prometheum targets retail investors, financial professionals, and institutions. The company recently secured $20 million in funding to expand its ecosystem, reinforcing its commitment to bridging blockchain innovation with regulated financial markets.",2017,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686cf274b55b270001d73a66/picture,"","","","","",""
CIVIC Financial Services,CIVIC Financial Services,Cold,Accountant+Legal,96,financial services,pavel@mindcypher.com,http://www.civicfs.com,http://www.linkedin.com/company/civicfs,https://www.facebook.com/civicfs/,https://twitter.com/civicfinancial,645 Madison Ave,New York,New York,United States,10022-1010,"645 Madison Ave, New York, New York, United States, 10022-1010","hard money loans, private money loans, residential fix, flip financing, cash out refinance, stated income financing, buy, hold investments, investor financing, rehab financing, buy to rent, rental portfolio financing, cross collateralization, bridge financing, real estate financing, fix and flip loans, bridge loans, rental loans, construction loans, loan products, financing options, investment properties, non-owner occupied loans, mortgage solutions, cash flow, blanket loans, dscr loans, property loans, real estate investors, long-term financing, short-term loans, financing solutions, property appraisal, property investment, loan-to-value, loan-to-cost, interest rates, market rental, land acquisition, project funding, rehabilitation loan, financing for developers, portfolio loans, refinance options, home improvement financing, residential loans, property equity, rental property financing, quick funding, experienced developers, beginner investor loans, financial services, real estate investment strategy, real estate loan process, flexible loan terms, risk assessment, capital funding, commercial mortgage, affordable rates, real estate market, equity loans, broker program",'+1 877-472-4842,"Route 53, Gmail, Google Apps, Microsoft Office 365, Amazon AWS, Bootstrap Framework, Shutterstock, Google Maps, Google Tag Manager, WordPress.org, Google Maps (Non Paid Users), Linkedin Marketing Solutions, Mobile Friendly, Google Font API, Varnish, reCAPTCHA, Apache, Vimeo, Segment.io, Remote, Circle","","","","",1500000,"",68487dc69e2b6000110ea5cd,6162,"CIVIC Financial Services is a prominent private money lender based in Redondo Beach, California, specializing in financing for non-owner-occupied residential investment properties. Established in 2014, the company operates as a direct lender, managing the entire loan process to facilitate quick closings. CIVIC was acquired by PacWest Bancorp in 2021 and has been recognized as a top workplace by National Mortgage News.

CIVIC offers a range of financing solutions tailored for real estate investors, including bridge loans for property acquisition, fix-and-flip loans for purchasing and renovating properties, rehab financing for renovation costs, and long-term rental property loans. The company is dedicated to providing speed, reliability, and flexibility, catering to mortgage brokers, real estate investors, and agents across multiple U.S. states, including California, Nevada, Arizona, and Texas. CIVIC is a member of the American Association of Private Lenders and has received recognition as a Great Place to Work Certified organization.",2014,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686e417425f9d2000170ee67/picture,Banc of California (bancofcal.com),"","","","",""
